factor,IC,selected
STD20,0.028815240248790844,True
KLEN,0.028744327084006163,True
BETA60,0.028329849052962056,True
BETA20,0.02704832339805827,True
HIGH0,0.027026908033502738,True
STD10,0.02684351410795633,True
MIN60,-0.0267617412697381,True
KUP,0.026387887115314392,True
RESI20,-0.026227989650281603,True
QTLD60,-0.025968126396591563,True
BETA30,0.02514264735705473,True
STD30,0.024959238345243523,True
IMIN30,0.024377038419837484,True
MA60,-0.02425393145321383,True
MAX5,0.02344469957034831,True
MIN30,-0.023337835432563424,True
MIN20,-0.02201719278107406,True
CORD30,0.021083006898893822,True
ROC30,-0.02106071035738175,True
CORR60,0.021030895485009644,True
IMXD30,-0.020835459099470315,True
STD5,0.020121808559785178,True
VMA60,-0.019664542094327813,False
WVMA10,0.01962514210132647,False
ROC20,-0.019322641759579186,False
RESI10,-0.01926313040070783,False
RANK60,0.019090947645291977,False
IMXD20,-0.01896136149943468,False
ROC60,-0.018709314430040726,False
STD60,0.018195294269092267,False
SUMN5,0.018048721916067705,False
SUMD5,-0.01804872191606768,False
SUMP5,-0.018048721916067652,False
QTLU60,-0.017853463717438362,False
QTLD30,-0.017742667030657615,False
SUMN60,-0.017347283949789457,False
SUMD60,0.017347283949789294,False
SUMP60,0.017347283949789107,False
WVMA30,0.017085821472348172,False
KLOW,0.016802408485481934,False
RSV60,0.016067042383244617,False
QTLD20,-0.016001822015945813,False
BETA5,-0.015570007533831955,False
LOW0,-0.015536555122028606,False
SUMN30,-0.015515318498898222,False
SUMD30,0.015515318498898005,False
SUMP30,0.015515318498897809,False
WVMA20,0.015502854990680916,False
IMIN20,0.015237854256178834,False
MAX10,0.01518738367962726,False
IMAX30,-0.015161034618394327,False
IMAX20,-0.01469652831379711,False
CORD60,0.014431185877362505,False
IMAX5,0.014136949245018376,False
VSUMN60,-0.013962583386450563,False
VSUMD60,0.013962583386450537,False
VSUMP60,0.01396258338645053,False
RSQR5,0.013928647894595168,False
RESI30,-0.013730788358708411,False
IMXD60,-0.013462700658567455,False
MA30,-0.013353131627137433,False
CORR20,0.012493129599195258,False
MIN10,-0.012280155513950673,False
ROC5,0.012022386710362501,False
WVMA60,0.011655094317798516,False
MA5,0.011629692739852468,False
IMAX60,-0.01157684427348341,False
RANK5,-0.011525598986623899,False
RSV5,-0.011477396279841625,False
QTLU5,0.011386148903283138,False
VMA5,-0.01114302867789907,False
QTLU10,0.01105483715609343,False
WVMA5,0.010717227170882403,False
SUMN20,-0.010603410378639662,False
SUMD20,0.01060341037863933,False
SUMP20,0.010603410378638987,False
CORR10,0.010553196737222416,False
IMIN60,0.010253657486195602,False
MIN5,-0.009893276093311545,False
VSTD30,0.009822067365929296,False
IMXD5,0.009737246363700939,False
RANK10,-0.009549428029987865,False
RANK30,0.009491773652710908,False
CORD20,0.009162756307484808,False
VMA10,-0.00871581034768867,False
VMA30,-0.008702819437921026,False
CORR30,0.008684298166559403,False
RSV10,-0.008458408371232237,False
CNTN60,-0.00815131623397398,False
VSTD20,0.00813637203013198,False
MA20,-0.00811831132913645,False
VMA20,-0.0076491392660279055,False
CNTN20,-0.0075964908113753515,False
CNTP5,-0.007509684407541625,False
QTLD5,0.007436565012958543,False
CNTD20,0.007401070336385272,False
RSV30,0.007210799193088521,False
CNTP20,0.007158762779585039,False
RSQR60,0.007118648786946588,False
CNTD60,0.006993251621791117,False
CNTD5,-0.006898609834047554,False
OPEN0,0.006800266491683085,False
VWAP0,0.006430294149718118,False
KMID,-0.006409919371128026,False
MAX60,-0.006320641381817455,False
CNTN5,0.006299960541808135,False
KSFT,-0.0061736115648915076,False
CNTN30,-0.006122887318545374,False
CNTD30,0.005792688038491576,False
CNTP60,0.0057672990827826835,False
MAX20,0.005766625459612256,False
RSV20,0.005711041597615027,False
MA10,0.005543043181183193,False
VSUMN20,-0.005406476320038685,False
VSUMP20,0.005406476320038677,False
VSUMD20,0.005406476320038668,False
CNTP30,0.005405299479834392,False
KUP2,0.005391539838433729,False
CORD5,-0.005111018284153038,False
VSTD5,-0.004959139262914725,False
CORR5,-0.004635247106878048,False
RANK20,0.004527110413388633,False
CORD10,0.004353953017095491,False
ROC10,-0.004267698485992398,False
CNTN10,-0.00420453905696426,False
RSQR20,0.004199022475431598,False
QTLU30,-0.004001685688935112,False
VSTD60,-0.003976049591491558,False
VSTD10,0.003944890838533626,False
CNTD10,0.003921432414288338,False
IMIN5,-0.0037970213601627952,False
IMXD10,0.0036389447953166652,False
IMAX10,0.0036273829423268625,False
CNTP10,0.003607758480484263,False
KMID2,-0.003572084847097663,False
MAX30,0.0035645237476171795,False
QTLU20,0.0035247146722023072,False
RESI60,-0.003408600583962261,False
KSFT2,-0.003395439617423496,False
BETA10,0.0033840566092068905,False
VSUMD30,0.003069081835069221,False
VSUMP30,0.0030690818350692173,False
VSUMN30,-0.0030690818350692173,False
RSQR30,-0.0017880501944505889,False
RESI5,-0.0016476004672906328,False
VSUMP5,-0.0015722638643434494,False
VSUMN5,0.0015722638643434457,False
VSUMD5,-0.0015722638643434377,False
IMIN10,-0.0015529988386596514,False
RSQR10,-0.0013578796524351712,False
KLOW2,0.0009126051704501565,False
QTLD10,0.0007088591094617906,False
SUMN10,-0.0002400577377156902,False
SUMD10,0.00024005773771547403,False
SUMP10,0.00024005773771524993,False
VSUMN10,4.819246867113668e-05,False
VSUMP10,-4.8192468671136346e-05,False
VSUMD10,-4.81924686711355e-05,False
