date,portfolio_value,daily_return
2024-05-03,998014.3827600001,0.0
2024-05-06,991911.2227599999,-0.006115302650370542
2024-05-07,978804.88276,-0.013213218783361968
2024-05-08,990019.4927599997,0.01145745203924319
2024-05-09,969132.50276,-0.021097554293371047
2024-05-10,974268.0195200001,0.005299086291476828
2024-05-13,994506.9195199999,0.020773441798870747
2024-05-14,1005626.6195200001,0.011181118785344524
2024-05-15,1017471.0195200001,0.011778128949742325
2024-05-16,1034612.16952,0.016846818898179898
2024-05-17,1038183.6351,0.0034519848936794477
2024-05-18,1042732.5150999998,0.0043815755192112334
2024-05-21,1069979.4551,0.02613032547219172
2024-05-22,1079127.7451,0.008549967904893128
2024-05-23,1078561.7151,-0.0005245254814086681
2024-05-24,1069212.0567199995,-0.008668635506994168
2024-05-27,1078776.3067199995,0.00894513856244762
2024-05-28,1058639.6067199996,-0.01866624236606126
2024-05-29,1051524.9567199997,-0.006720559059794998
2024-05-30,1039385.5567199995,-0.011544566700410347
2024-05-31,1044839.8786199996,0.005247640651475244
2024-06-03,1074516.3286199996,0.0284028688100955
2024-06-04,1003388.3286199998,-0.06619536446816904
2024-06-05,1032171.0786199996,0.028685553916683322
2024-06-06,1043332.7286199997,0.010813759686934004
2024-06-07,1053653.4960199997,0.009892115062518103
2024-06-10,1055684.0860199996,0.0019271895434979961
2024-06-11,1065237.8260199998,0.009049809622515453
2024-06-12,1064165.8960199996,-0.0010062823285248623
2024-06-13,1068651.7060199997,0.004215329599244882
2024-06-14,1071876.4802599999,0.003017610154771813
2024-06-18,1076416.0702599997,0.004235180157044499
2024-06-19,1064806.4102599996,-0.010785476286317361
2024-06-20,1078230.0502599997,0.012606648373503318
2024-06-21,1071264.1002599997,-0.0064605415127506555
2024-06-24,1068295.8956199996,-0.0027707496585386675
2024-06-25,1063315.8456199993,-0.004661676620137197
2024-06-26,1058326.3956199996,-0.004692349898247276
2024-06-27,1062327.3956199996,0.0037804972233127505
2024-06-28,1065377.9456199994,0.0028715723726765417
2024-07-01,1069092.6869199995,0.003486782615758305
2024-07-02,1060807.3269199997,-0.007749898677045075
2024-07-03,1071649.8569199997,0.010221017261900674
2024-07-04,1069440.2269199996,-0.002061895483615105
2024-07-05,1083065.2369199996,0.012740319334386923
2024-07-08,1083249.1426799993,0.00016980118438917778
2024-07-09,1082371.6426799993,-0.0008100629535962814
2024-07-10,1080117.1426799993,-0.0020829259665541126
2024-07-11,1083546.4926799994,0.0031749796984900636
2024-07-12,1084000.7426799994,0.00041922520451935264
2024-07-15,1101980.6635799992,0.016586631532694
2024-07-16,1098594.0435799994,-0.0030732118193415327
2024-07-18,1100030.9835799993,0.0013079808764640427
2024-07-19,1075640.4535799993,-0.022172584558138708
2024-07-22,1080578.8635799992,0.004591134503693737
2024-07-23,1079654.5743799994,-0.0008553648707671006
2024-07-24,1083976.3643799992,0.004002937701145413
2024-07-25,1077412.9243799995,-0.006054965971286463
2024-07-26,1098542.7243799993,0.01961160806768586
2024-07-29,1114435.7943799994,0.014467411824123517
2024-07-30,1119212.7058199993,0.004286394482382456
